fluAB.csvounts
0	CA	473
1	IA	419
2	FL	211
3	TX	182
4	MN	176
5	IL	164
6	NC	159
7	MD	150
8	OH	139
9	MO	124
10	AZ	120
11	NY	111
12	SD	108
13	WA	107
14	AK	105
15	OK	102
16	MT	101
17	CO	97
18	UT	94
19	VA	94
20	HI	92
21	PA	89
22	WI	88
23	NJ	88
24	IN	87
25	DE	85
26	MI	82
27	CT	80
28	MS	79
29	NE	77
30	GA	75
31	WV	73
32	ID	72
33	KY	71
34	KS	69
35	OR	66
36	ND	66
37	AL	65
38	ME	60
39	WY	58
40	NM	52
41	TN	52
42	LA	52
43	MA	50
44	AR	49
45	NH	49
46	SC	37
47	VT	37
48	NV	28
49	RI	15
